epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6502079746863422,0.6089411764705882,0.6086771207826402,0.5767730424404144,0.6997333333333333,0.6995364215225424
2,0.5481518542962915,0.7330823529411765,0.7330741222401729,0.5347477029005686,0.7474666666666666,0.7474302966293813
3,0.49799568212733547,0.7697411764705883,0.7697048193480781,0.5431049015204111,0.7197333333333333,0.718195729073499
4,0.42013424331160154,0.8221176470588235,0.8221171916788342,0.48505278118451434,0.7930666666666667,0.7929420417024688
5,0.3482158393221743,0.8581647058823529,0.8581631667809377,0.439673904299736,0.8181333333333334,0.8181258837695324
6,0.28654524634427886,0.8862117647058824,0.886211029904749,0.44466851710478467,0.8112,0.8103020762598514
